NOME_FANTASIA,MUNICIPIO,RUA,BAIRRO,Latitude,Longitude
REFISIO CLINICA DE REABILITACAO E FISIOTERAPIA,Rio de Janeiro,AV NOSSA SENHORA DE COPACABANA,COPACABANA,-22.970445,-43.186633
RECAPSY CENTRO,Rio de Janeiro,AV TREZE DE MAIO,CENTRO,-22.9091115463,-43.1772957876
INSPIRA REABILITACAO,Rio de Janeiro,RUA JACURUTA,PENHA,-22.8358669,-43.2723781
NASCERE ESPACO SAUDE,Niterói,R DOUTOR PAULO CESAR,ICARAI,-22.8853882171,-43.1143188362
ESPACO TERAPEUTICO NEUROFLORESCER,São Gonçalo,RUA NESTOR PINTO ALVES,VILA TRES,-22.8197555,-42.9970937
CLINIK CENTRO DE REABILITACAO,Rio de Janeiro,AV FLAMBOYANTS DA PENINSULA,BARRA DA TIJUCA,-22.989,-43.351
CENTRO DE ATENCAO PSICOSSOCIAL CAPS III FIGUEIRA,Duque de Caxias,RUA ALAMEDA CORRETORES,CHACARAS RIO PETROPO,-22.6787094481,-43.2885591126
ESPACO INCLUIR FONO AUTISMO,Rio de Janeiro,EST CORONEL PEDRO CORREIA,JACAREPAGUA,-22.48652763,-44.27875746
DINAMICA SAUDE REABILITACAO,Duque de Caxias,AVENIDA BRIGADEIRO LIMA E SILVA,25 DE AGOSTO,-22.7940614721,-43.2982808595
CLINICA PRO NASCER ASSISTENCIA MEDICA E LABORATORIAL,Rio de Janeiro,AV ARMANDO LOMBARDI,BARRA DA TIJUCA,-23.005725,-43.3141488
SMS CENTRO CARIOCA DE REABILITACAO DA ZONA OESTE AP 52,Rio de Janeiro,RUA CAMPO GRANDE,CAMPO GRANDE,-22.899806,-43.550573
ESPACO FLORESCER MULTITERAPIAS,São João de Meriti,R CLEBER SANTOS DE CARVALHO,VILAR DOS TELES,-22.7768688121,-43.3561249321
NCX CENTRO DE REABILITACAO E PERFORMANCE,Rio de Janeiro,AV DAS AMERICAS,RECREIO DOS BANDEIRA,-22.587652,-43.927875
ESPACO FLORECER INTERVENCAO COMPORTAMENTAL,Rio de Janeiro,R DAGMAR DA FONSECA,MADUREIRA,-22.87368065,-43.39714854
SMS CENTRO DE REABILITACAO E CEDTEA IRAJA AP 33,Rio de Janeiro,RUA HANNIBAL PORTO,IRAJA,-22.82383,-43.32478
CLINICA FLORECER,Rio de Janeiro,PR BOTAFOGO,BOTAFOGO,-22.9423,-43.1812
DL ODONTOLOGIA REABILITACAO ORAL,Rio de Janeiro,RUA MIOSOTIS,VILA VALQUEIRE,-22.8875622,-43.288192749
MENS SANA IN CEREBRO SANO PSIQUIATRIA,Rio de Janeiro,AV DAS AMERICAS,BARRA DA TIJUCA,-22.998219526,-43.355484
DR TULIO E DRA ANA CECILIA REABILITACAO ORAL,Rio de Janeiro,AVENIDA EMBAIXADOR ABELARDO BUENO 01023,BARRA OLIMPICA,-22.8804256689,-43.2241201401
DTM SERVICOS DE SAUDE E REABILITACAO FISICA LTDA,Nova Iguaçu,RUA QUINTINO BOCAIUVA,CENTRO,-22.758141,-43.449126
INSTITUTO ATIPICO CENTRO DE REABILITACAO PESQUISA E ENSINO,Rio de Janeiro,R PINHEIRO MACHADO,LARANJEIRAS,-22.9343457835,-43.1838701
DOSE CERTA FARMACIA DE MANIPULACAO,Rio de Janeiro,PRACA SAENZ PENA,TIJUCA,-22.84576652,-43.277875
NEXUS REABILITACAO E MOVIMENTO,Rio de Janeiro,ENGENHEIRO OCTACILIO NEGRAO DE LIMA,VILA ISABEL,-22.9035,-43.2096
DAYSA DE SOUZA REABILITACAO UROGENITAL,Rio de Janeiro,RUA ANA SILVA,PECHINCHA,-22.9243559269,-43.3545291424
CLINICA DE REABILITACAO SAUDE REVIGORAR,Rio de Janeiro,AVENIDA NOSSA SENHORA DE COPACABANA,COPACABANA,-22.975142,-43.189585
SMS CAPS CARLOS AUGUSTO DA SILVA MAGAL AP 31,Rio de Janeiro,AVENIDA DOM HELDER CAMARA,MANGUINHOS,-22.9035,-43.2096
ALPHA REABILITACAO ORAL,Rio de Janeiro,AVENIDA DOM HELDER CAMARA,CACHAMBI,-22.8847946241,-43.3127832413
BBL SERVICOS EM REABILITACAO,Rio de Janeiro,AVN MINIST ARY FRANCO,BANGU,-22.9027829574,-43.208220005
ROBERTA CERQUEIRA MIRANDA BITTENCOURT,Rio de Janeiro,RUA CONDE BONFIM,TIJUCA,-22.923705,-43.229609
SMS CAPS III MANOEL DE BARROS AP 40,Rio de Janeiro,RUA NOSSA SENHORA DOS REMEDIOS,TAQUARA,-22.9373344,-43.3904616
CENTRO DE REFERENCIA MUNICIPAL DE AUTISMO I,São Gonçalo,AV WASHINGTON LUIZ,GRADIM,-22.9541256,-43.555687
CICERO LUIZ SOUZA BRAGA,Rio de Janeiro,RUA REAL GRANDEZA,BOTAFOGO,-22.9601481,-43.1907126
SMS CAPS III OSWALDO DOS SANTOS AP 32,Rio de Janeiro,RUA LAGOA CLARA,INHAUMA,-22.87392,-43.27214
GINOCER SERVICOS MEDICOS,Rio de Janeiro,RUA HERMENGARDA,TIJUCA,-22.69876652,-43.627875
PROCIGGA CLINICA DE REABILITACAO FISICA E FUNCIONAL GERONTOL,Rio de Janeiro,RUA FELIPE DE OLIVEIRA,COPACABANA,-22.9620337,-43.1770391
SMS CENTRO DE EMERGENCIA REGIONAL CER CAMPO GRANDE AP 52,Rio de Janeiro,AVENIDA CESARIO DE MELO,CAMPO GRANDE,-22.9080610447,-43.5623807912
CENTRO DE EQUOTERAPIA E REABILITAO DA VILA MIL CERVIM,Rio de Janeiro,AVENIDA BRASIL,DEODORO,-22.85838,-43.41164
ELINA LAMBERT CERQUEIRA,Rio de Janeiro,LARGO DO MACHADO,CATETE,-22.9314542,-43.1787676
MARIA MARLENE LACERDA BALBI CONSULTORIO COPACABANA,Rio de Janeiro,AVENIDA NOSSA DE COPACABANA,COPACABANA,-22.92643,-43.23323
SANDRO DE ALBUQUERQUE CERBINO,Rio de Janeiro,RUA ANTONIO DE ABREU,MADUREIRA,-22.9738234158,-43.3655905724
DOMENICO FITTIPALDI REABILITACAO ORAL E ESTETICA,Rio de Janeiro,AVENIDA RIO BRANCO,CENTRO,-22.9068654,-43.1775123294
CLINICA DR CICERO,Rio de Janeiro,RIO BRANCO,CENTRO,-22.905971,-43.1775918
CENTRO ESPECIALIZADO EM REABILITACAO,Duque de Caxias,AVENIDA REPUBLICA PARAGUAI,SARAPUI,-22.748319,-43.29949
CAPSI INFANTO JUVENIL DR JOAQUIM DOS REIS PEREIRA,São Gonçalo,JOVELINO DE OLIVEIRA VIANA,ALCANTARA,-22.827965,-43.054874
ACERTT ORTODONTIA ESPECIALIZADA,Rio de Janeiro,LRG MACHADO,CATETE,-22.9314542,-43.1787676
ACONTECER,Rio de Janeiro,AVENIDA MERITI,VILA DA PENHA,-22.8274532676,-43.3108091354
AP SERVICOS DE REABILITACAO LEBLON,Rio de Janeiro,ATAULFO DE PAIVA,LEBLON,-22.983652,-43.2156165
SMS CAPS III EAT SEVERINO DOS SANTOS AP 32,Rio de Janeiro,RUA DOIS DE FEVEREIRO,ENGENHO DE DENTRO,-22.901643,-43.301128
ESPACO CLIMACO REABILITACAO DE COLUNA E ESTETICA,Rio de Janeiro,AV AYRTON SENNA,JACAREPAGUA,-22.96443,-43.3550538
CAPS ALCOOL E DROGAS III DR DANIEL GOMES DA SILVA,São Gonçalo,AUGUSTO FRANCO,ALCANTARA,-22.598559,-43.665878
CLINICA DE REABILITACAO FISIOTO FISIOTERAPIA,Rio de Janeiro,RUA SORIANO DE SOUZA,TIJUCA,-22.78876652,-43.227875
CENTRO DE REABILITACAO ORAL ORTODONTIA E IMPLANTODONTIA CR,Nova Iguaçu,RUA MARIA ADELAIDE DE CARVALHO,CENTRO,-22.759442,-43.448748
CENTRO DE DIAGNOSTICO E REABILITACAO ORAL RIVIERA,Rio de Janeiro,DAS AMERICAS,BARRA DA TIJUCA,-23.0082545,-43.46455005
PRIME IMPLANTODONTIA E REABILITACAO ORAL,Rio de Janeiro,AFONSO ARINOS DE MELO FRANCO,BARRA DA TIJUCA,-23.0047009,-43.3258651
MOSCA E CERQUEIRA SERVICOS MEDICOS,Rio de Janeiro,REAL GRANDEZA,BOTAFOGO,-22.9577610614,-43.191139698
CENTRO DE REABILITACAO E DESENVOLVIMENTO INFANTIL,Rio de Janeiro,DOS TRES RIOS,FREGUESIA JACAREPAG,-22.93985,-43.34315
CLINICA MEDICA E REABILITACAO SILVA MONTEIRO,Rio de Janeiro,RUA JOAO ROMARIZ,RAMOS,-22.85295,-43.25632
CENTRO DA COLUNA E CEREBRO SERVICOS MEDICOS,Rio de Janeiro,RUA OLINDA ELLIS,CAMPO GRANDE,-22.915,-43.553
SMS CENTRO DE EMERGENCIA REGIONAL CER REALENGO AP 51,Rio de Janeiro,RUA NILOPOLIS,REALENGO,-22.86607,-43.43868
ESPACO CRESCER SAUDE E DESENVOLVIMENTO,Niterói,AV ALMIRANTE ARY PARREIRAS,ICARAI,-22.90475,-43.09604
CRE CENTRO DE REABILITACAO ESPECIALIZADA LTDA,Nova Iguaçu,GOVERNADOR ROBERTO SILVEIRA,CENTRO,-22.7572097,-43.4554219
A G FISIOTERAPIA E REABILITACAO,São Gonçalo,CORONEL SERRADO,ZE GAROTO,-22.8306966653,-43.0577480793
CER PSICOLOGIA,Rio de Janeiro,RUA JORGE EMILIO FONTENELLE,RECREIO DOS BANDEIRA,-23.0127177,-43.4470105
FISIOARTS REABILITACAO E ESTETICA,Rio de Janeiro,LOPO SARAIVA,TANQUE,-22.9260329,-43.3598158
FLORESCER SERVICOS DE SAUDE,Rio de Janeiro,AV DAS AMERICAS,BARRA DA TIJUCA,-23.0026,-43.32451
FLORESCER TERAPEUTICO,Rio de Janeiro,RUA ARQUIAS CORDEIRO,MEIER,-22.901814,-43.2799811
ORAL SURGERY GROUP REABILITACAO ORAL E FACIAL LTDA,Rio de Janeiro,R ADOLFO MOTA,TIJUCA,-22.9208046168,-43.2323308033
LEONARDO LACERDA DOS SANTOS SILVA,Rio de Janeiro,RUA DIAS DA CRUZ,MEIER,-22.9027826,-43.281395
ASSOCIACAO DE REABILITACAO E PESQUISA FONOAUDIOLOGICA,Rio de Janeiro,19 DE FEVEREIRO,BOTAFOGO,-22.9542305084,-43.1853173088
INBRACER,Rio de Janeiro,RUA GETULIO DAS NEVES,JARDIM BOTANICO,-22.9604086165,-43.2064819336
MONICA HERMIDA CERQUEIRA,Rio de Janeiro,RUA VISCONDE DE PIRAJA,IPANEMA,-22.9847565,-43.1954068
RENASCER CLINICA DE PSICOLOGIA AVANCADA,Niterói,R NORONHA TORREZAO,SANTA ROSA,-22.8974429,-43.1019958
MEDICINA FISICA E REABILITACAO DRA DENISE XEREZ,Rio de Janeiro,R JARDIM BOTANICO,JARDIM BOTANICO,-22.96838455,-43.2286944986
UNIDADE DE REABILITACAO FISIOCONTROL,Rio de Janeiro,ESTRADA DO TINDIBA,TAQUARA,-22.9280645,-43.3624557
ANDREA BRUNO CERUTTI,Rio de Janeiro,AVENIDA ISABEL,SANTA CRUZ,-22.9206686,-43.6829757
CLINICA DE REABILITACAO DO LEBLON,Rio de Janeiro,AVENIDA ATAULFO DE PAIVA,LEBLON,-22.9836604,-43.2154752
INSTITUTO BRASILEIRO DE REABILITACAO DA FACE,Rio de Janeiro,RUA REAL GRANDEZA,BOTAFOGO,-22.9601627,-43.1906302
FLORESCER,Rio de Janeiro,RUA VISCONDE DE PIRAJA,IPANEMA,-22.98448875,-43.20564185
CROMA CLINICA DE REABILITACAO ORAL MARQUES DE AZEVEDO,Rio de Janeiro,NELSON CARDOSO,TAQUARA,-22.9225778697,-43.3723997194
